_ - _ - id,_ - _ - active,_ - _ - subtype,_ - _ - place_name,_ - _ - subcategory,_ - _ - place_address,_ - _ - place_type_id,_ - _ - place_latitude,_ - _ - place_longitude,_ - _ - place_type_name
E11219,1,estacion,"E11219 · Grupo Gasolinero Samara, S.A. de C.V.",Estación,"Carretera  Sayulita- Punta de Mita Km. 5+100, Col. Sc",3,20.862360,-105.425790,estacion
E10475,1,estacion,"E10475 · Grupo Gasolinero Samara, S.A. de C.V.",Estación,"Carretera Tepic Puerto Vallarta No. 1273 Sur, Col. Residencial Flamingos",3,20.748951,-105.315963,estacion
E05851,1,estacion,"E05851 · Gasolinera Martin, S.A. de C.V.",Estación,"Km 151.5 Carrt. Fed. 200 Tepic-Puerto Vallarta, Col. Loc. Jarretaderas",3,20.7042,-105.272860,estacion
E05186,1,estacion,"E05186 · Flogas, SA de CV",Estación,"Carret. a Tepic No. 5330, Col. Las Juntas",3,20.698985,-105.241052,estacion
E11594,1,estacion,"E11594 · Oh My Gas, S.A. de C.V.",Estación,"Calle Michoacan Num. 525 Norte, Col. Crucero de San Jose",3,20.766154,-105.222440,estacion
E03810,1,estacion,"E03810 · Superservicio El Obrero,S.A. de C.V.",Estación,"Calzada Del Obrero No 1635 Sector Libertad, Col. Postes Cuates",3,20.691710,-103.311841,estacion
E03339,1,estacion,"E03339 · Gasolinera Esteban Alatorre, S.A. de C.V.",Estación,"Esteban Alatorre No. 3002, Col. .-",3,20.672216,-103.294353,estacion
E06940,1,estacion,E06940 · Gasolineria  Santa Rita S.A. de C.V.,Estación,"Tizapan El Alto # 2, Col. Jalisco",3,20.689350,-103.261950,estacion
E09359,1,estacion,E09359 · Hernandez Lara Ofelia,Estación,"Av. Independencia Oriente No. 1130, Col. Deleg. Palos Altos",3,20.873516,-103.1409,estacion
E05492,1,estacion,"E05492 · Servicio Ponce Medina, SA de CV",Estación,"Av. Lazaro Cardenas No. 5 Esq. Javier Mina, Col. S/D",3,20.778179,-103.692045,estacion
E04391,1,estacion,"E04391 · Ouro Preto, S.A. de C.V.",Estación,"Carr. Guadalajara-Nogales Km.13900, Col. San Juan de Ocotan",3,20.724313,-103.502452,estacion
E12396,1,estacion,"E12396 · Gasolinera Martin, S.A. de C.V.",Estación,"Avenida las Torres No. 6140, Col. Volcan El Colli",3,20.66619722,-103.45893060,estacion
E05742,1,estacion,"E05742 · Turbosimba, S.A. de C.V.",Estación,"Av. Patria S/N Esq. Av. Manuel J. Clouthier, Col. Jardines Del Tepeyac",3,20.659455,-103.422981,estacion
E04461,1,estacion,"E04461 · Servicio Angel, S.A.de C.V.",Estación,"Av. Vallarta No. 6157 Cd. Granjas, Col. .",3,20.686749,-103.445101,estacion
E11624,1,estacion,E11624 · Combustibles Palma Real S.A. de C.V.,Estación,"Av. Santa Margarita Num. 3740, Col. La Tuzania",3,20.730228,-103.431772,estacion
E07450,1,estacion,"E07450 · Servicio Colotlan Express, S.A. de C.V.",Estación,"Carretera Colotlan #2800, Col. S/C",3,20.805697,-103.455802,estacion
E03265,1,estacion,E03265 · Combustibles Aditivos y Servicios Magicos S. de R.L. de C.V.,Estación,"Av.Lazaro Cardenas y Sn.Gilberto, Col. San Ignacio",3,20.669593,-103.403524,estacion
E09325,1,estacion,E09325 · Fer-Petro S. de R.L. de C.V.,Estación,"Av. Adolfo Lopez Mateos No 541, Col. Sector Hidalgo",3,20.684366,-103.381114,estacion
E12644,1,estacion,"E12644 · Estacion de Gasolineria Ferrocarril, S.A. de C.V.",Estación,"Circunvalacion Agustin Yanez No. 1908, Col. Moderna",3,20.66336111,-103.36645830,estacion
E01517,1,estacion,"E01517 · Corporacion Gasolinera Millenium, S.A. de C.V.",Estación,"Av. Vallarta y Camarena, Col. .",3,20.675161,-103.357246,estacion
E01532,1,estacion,"E01532 · Gasolinera Guadalajara, S.A. de C.V.",Estación,"Calle Dr. R. Michel No. 300, Col. Sector Reforma",3,20.662312,-103.346012,estacion
E05146,1,estacion,"E05146 · Grupo Jaguar de Occidente, SA de CV",Estación,"Av. Republica No. 380, Col. San Juan de Dios",3,20.677392,-103.334253,estacion
E01529,1,estacion,"E01529 · Gasolinera la 34, S.A. de C.V.",Estación,"Esteban Loera No.556, Col. Sector Libertad",3,20.680630,-103.321660,estacion
E09444,1,estacion,"E09444 · Combustibles Mipa, S.A. de C.V.",Estación,"Emiliano Zapata No. 300 (Esq. Av. Revolucion), Col. Jardines de la Paz",3,20.642031,-103.302856,estacion
E03404,1,estacion,"E03404 · Servicio Autopista, SA de CV",Estación,"Carretera Guadalajara Zapotlanejo No. 1000, Col. .-",3,20.628540,-103.290829,estacion
E03701,1,estacion,"E03701 · Servicio Laurel, S.A. de C.V.",Estación,"Presa Laurel No. 194, Col. Tetlan Del Rio Verde",3,20.662664,-103.276624,estacion
E09683,1,estacion,"E09683 · Gasolinera Beliarjo, S.A. de C.V.",Estación,"Periferico Oriente No. 2330, Col. Coyula",3,20.666428,-103.233236,estacion
E05627,1,estacion,"E05627 · Servicios Aceves, S.A. de C.V.",Estación,"Av. Lazaro Cardenas No. 2776, Col. Alamo Industrial",3,20.624353,-103.326390,estacion
E11820,1,estacion,"E11820 · Estacion Gdl Express, S.A. de C.V.",Estación,"Gonzalez Gallo Num. 2561, Col. El Rosario",3,20.634928,-103.326662,estacion
E05555,1,estacion,E05555 · Lubrica Automotriz S.A. de C.V.,Estación,"Av. 8 de Julio # 2236, Col. Zona Industrial",3,20.645556,-103.362624,estacion
E12572,1,estacion,"E12572 · Gasolineras Fast de Occidente,S. de R.L. de C.V.",Estación,"Prolongacion 8 de Julio No. 575, Col. San Sebastian El Grande",3,20.567217,-103.391830,estacion
E11273,1,estacion,"E11273 · Gasalvi, S.A. de C.V.",Estación,"8 de Julio Num. 506, Col. Guayabitos",3,20.599254,-103.379502,estacion
E08951,1,estacion,"E08951 · Combustibles Colon, S.A. de C.V.",Estación,"Av. Colon No. 3201, Col. Lomas de Polanco",3,20.633895,-103.379459,estacion
E10898,1,estacion,"E10898 · Estacion de Servicio Pleyades, S.A. de C.V.",Estación,"Av Mariano Otero No.4153, Col. Residencial la Calma",3,20.64251944444440,-103.4124,estacion
E03533,1,estacion,"E03533 · Grupo Casal, SA de CV",Estación,"Km.7.5 Carr.Fed.No.80 Guadalajara-Zapotlanejo,Tate, Col. .",3,20.605834,-103.262946,estacion
E03129,1,estacion,"E03129 · Servicio Tonala, S.A. de C.V.",Estación,"Calzada Tonala Num. 70, Col. .-",3,20.619558,-103.246505,estacion
E11260,1,estacion,"E11260 · Gasolinera San Nicolas, S.A. de C.V.",Estación,"Carretera Libre a Zapotlanejo  4950, Col. Jauga",3,20.574979,-103.181035,estacion
E09041,1,estacion,E09041 · Estacion de Servicio la Arena S.A. de C.V.,Estación,"Carretera Libre Guadalajara Zapotlanejo No. 4500, Col. S/C",3,20.586680,-103.116090,estacion
E08639,1,estacion,"E08639 · Estacion de Servicio Cdal, S.A. de C.V.",Estación,"Acueducto Chapala Guadalajara No. 81, Col. Toluquilla",3,20.574469,-103.364146,estacion
E08963,1,estacion,"E08963 · Gasolinera Oleoducto, S.A. de C.V.",Estación,"Anillo Perifrico # 5300, Col. Artesanos",3,20.586880,-103.330010,estacion
E10697,1,estacion,"E10697 · Jorimar Gasolineros, S.A. de C.V.",Estación,"Periferico Sur No. 775, Col. San Martin",3,20.596854,-103.3029,estacion
E03901,1,estacion,"E03901 · Combu Express, S.A. de C.V.",Estación,"Av.Tonala Ent.Calle Salvador Hinojosa y C.Unicorni, Col. Cd. Aztlan",3,20.617186,-103.280173,estacion
E07190,1,estacion,E07190 · Gasolinera Lolita S.A. de C.V.,Estación,"Av. Solidaridad Iberoamericana # 7883, Col. Las Pintitas",3,20.548389,-103.302275,estacion
E04883,1,estacion,"E04883 · Gasolinera El Zapote, SA de CV",Estación,"Km. 17 de la Carret. Guadalajara-Chapala, Col. Fracc. El Zapote",3,20.504409,-103.279851,estacion
E11682,1,estacion,"E11682 · Grupo de Gasolineros Unidos Mi Riu, S.A. de C.V.",Estación,"Corredor Industrial El Salto Km. 9.1, Col. Parque Industrial El Salto",3,20.529220,-103.241557,estacion
E12551,1,estacion,"E12551 · Gasotala, S.A. de C.V.",Estación,"Carr Tala-Sta Cruz de las Flores Km 33+299 No. 101, Col. S/C",3,20.63550278,-103.71173330,estacion
E10557,1,estacion,"E10557 · Gopra, S.A. de C.V.",Estación,"Km. 19 Carretera a San Isidro Mazatepec No. 798, Col. Santa Cruz de las Flores",3,20.485437,-103.510277,estacion
E07022,1,estacion,"E07022 · Combustibles de Santa Anita, S.A. de C.V.",Estación,"Avenida Ramon Corona No. 715, Col. Camino a Santa Anita",3,20.555641,-103.456817,estacion
E12197,1,estacion,"E12197 · Cajivhe, S.A. de C.V.",Estación,"Prolongacion Mariano Otero No. 1509, Col. Mariano Otero",3,20.629485,-103.449643,estacion
E10113,1,estacion,"E10113 · Operadora Kinza, S.A. de C.V.",Estación,"Av. Moctezuma Esq. Con Av. Tepeyac S/N, Col. Haciendas Tepeyac",3,20.652153,-103.441662,estacion
